openai/codex	105592	16017	12416	2025-04-13T05:37:54Z	2026-08-13T03:52:25Z	Lightweight coding agent that runs in your terminal
anomalyco/opencode	196703	25283	5102	2025-04-30T20:08:00Z	2026-08-13T03:54:49Z	The open source coding agent.
google-gemini/gemini-cli	106495	14429	842	2025-04-17T17:04:31Z	2026-08-13T03:48:14Z	An open-source AI agent that brings the power of Gemini directly into your terminal.
cline/cline	66096	7098	982	2024-07-06T07:28:10Z	2026-08-13T03:52:22Z	Autonomous coding agent as an SDK, IDE extension, or CLI assistant.
aaif-goose/goose	52738	5997	251	2024-08-23T19:03:36Z	2026-08-13T03:05:13Z	an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM
stablyai/orca	44095	3068	3688	2026-03-17T03:28:57Z	2026-08-13T03:55:35Z	Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and VPS.
huangruiteng/loopx	4443	380	26	2026-05-31T14:58:56Z	2026-08-13T03:54:31Z	Lightweight loop engineering state kernel for long-running AI agent teams. Agent-loop agnostic across Codex, Claude Code, and other coding agents, with durable goals, quota-aware auto-wake, executable todos, evidence logs, and verifiable handoffs.
ruvnet/ruflo	67749	8108	815	2025-06-02T21:24:20Z	2026-08-13T03:51:37Z	🌊 The original agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated
langchain-ai/open-swe	10545	1225	23	2025-05-21T21:44:24Z	2026-08-13T03:38:49Z	An Open-Source Asynchronous Coding Agent
agentsmd/agents.md	23609	1777	166	2025-08-19T17:22:54Z	2026-08-13T03:53:24Z	AGENTS.md — a simple, open format for guiding coding agents
punkpeye/awesome-mcp-servers	92177	14399	2834	2024-11-30T04:49:10Z	2026-08-13T03:51:21Z	A collection of MCP servers.
modelcontextprotocol/servers	89508	11437	508	2024-11-19T01:10:17Z	2026-08-13T02:32:50Z	Model Context Protocol Servers
TykTechnologies/tyk	10792	1165	490	2014-05-07T14:38:24Z	2026-08-12T08:29:36Z	Tyk Open Source API Gateway written in Go, supporting REST, GraphQL, TCP and gRPC protocols
TencentCloud/TencentDB-Agent-Memory	20719	1876	553	2026-04-07T06:34:26Z	2026-08-13T03:52:39Z	TencentDB Agent Memory is a team-level memory hub for AI Agents — turning conversations, docs, and code into four reusable memory assets (Chat Memory, Skill, LLM-Wiki, Code-Graph) that are governed, shared, and equipped across agents and frameworks.
thedotmack/claude-mem	90570	7900	422	2025-08-31T20:50:03Z	2026-08-13T03:48:40Z	Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More
addyosmani/agent-skills	86658	9307	112	2026-02-15T20:20:26Z	2026-08-13T03:50:43Z	Production-grade engineering skills for AI coding agents.
google/skills	17934	1424	31	2026-03-31T19:02:20Z	2026-08-13T03:53:53Z	Agent Skills for Google products and technologies
wshobson/agents	38751	4131	21	2025-07-24T23:28:14Z	2026-08-13T02:28:49Z	Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, GitHub Copilot, and Gemini CLI
microsoft/agent-governance-toolkit	5895	1029	178	2026-03-02T22:11:47Z	2026-08-12T22:43:11Z	AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.
agentrust-io/awesome-ai-governance	29	32	0	2026-02-04T19:33:19Z	2026-08-12T19:15:45Z	🛡️ A curated list of tools, frameworks, standards, and resources for AI agent governance, safety, and compliance
